iter	Passed	Remaining
384	3535	5647
385	3544	5638
386	3553	5629
387	3563	5620
388	3572	5611
389	3581	5601
390	3590	5592
391	3599	5583
392	3608	5573
393	3617	5564
394	3627	5555
395	3636	5546
396	3645	5537
397	3654	5527
398	3663	5518
399	3672	5509
400	3682	5500
401	3691	5490
402	3700	5482
403	3709	5472
404	3718	5463
405	3727	5454
406	3737	5445
407	3746	5436
408	3755	5426
409	3765	5417
410	3774	5408
411	3783	5399
412	3792	5390
413	3801	5381
414	3811	5372
415	3820	5362
416	3829	5354
417	3838	5344
418	3848	5335
419	3857	5326
420	3866	5317
421	3875	5308
422	3884	5298
423	3893	5289
424	3902	5280
425	3911	5271
426	3920	5261
427	3930	5252
428	3939	5243
429	3948	5233
430	3957	5224
431	3966	5215
432	3975	5206
433	3984	5196
434	3993	5187
435	4003	5178
436	4012	5168
437	4021	5159
438	4030	5150
439	4039	5141
440	4048	5132
441	4058	5123
442	4067	5114
443	4076	5104
444	4085	5095
445	4094	5086
446	4104	5077
447	4113	5067
448	4122	5058
449	4131	5049
450	4140	5040
451	4149	5030
452	4158	5020
453	4167	5011
454	4176	5002
455	4186	4993
456	4194	4984
457	4204	4975
458	4213	4966
459	4222	4957
460	4231	4947
461	4241	4939
462	4250	4929
463	4259	4920
464	4268	4910
465	4277	4901
466	4286	4892
467	4295	4883
468	4304	4873
469	4313	4864
470	4322	4855
471	4331	4845
472	4341	4836
473	4350	4827
474	4359	4818
475	4368	4808
476	4377	4799
477	4386	4790
478	4395	4781
479	4405	4772
480	4414	4763
481	4423	4753
482	4432	4744
483	4441	4735
484	4450	4726
485	4459	4716
486	4469	4707
487	4478	4698
488	4487	4688
489	4496	4679
490	4505	4670
491	4514	4661
492	4523	4652
493	4532	4642
494	4541	4633
495	4551	4624
496	4560	4615
497	4569	4606
498	4579	4597
499	4587	4587
500	4596	4578
501	4606	4569
502	4615	4560
503	4624	4550
504	4633	4541
505	4641	4531
506	4650	4521
507	4659	4512
508	4668	4503
509	4677	4494
510	4686	4485
511	4695	4475
512	4705	4466
513	4714	4457
514	4723	4448
515	4732	4438
516	4741	4429
517	4750	4420
518	4760	4411
519	4769	4402
520	4778	4393
521	4787	4383
522	4796	4374
523	4805	4365
524	4815	4356
525	4823	4347
526	4832	4337
527	4842	4328
528	4851	4319
529	4860	4310
530	4870	4301
531	4879	4292
532	4888	4282
533	4897	4273
534	4906	4264
535	4915	4255
536	4924	4245
537	4933	4236
538	4942	4227
539	4951	4218
540	4960	4209
541	4970	4199
542	4979	4190
543	4988	4181
544	4997	4172
545	5006	4163
546	5015	4153
547	5024	4144
548	5033	4135
549	5042	4126
550	5051	4116
551	5060	4107
552	5069	4098
553	5079	4089
554	5088	4080
555	5098	4071
556	5107	4061
557	5116	4052
558	5125	4043
559	5134	4034
560	5143	4025
561	5152	4015
562	5162	4006
563	5171	3997
564	5180	3988
565	5189	3978
566	5198	3969
567	5207	3960
568	5216	3951
569	5225	3941
570	5234	3932
571	5243	3923
572	5253	3914
573	5262	3905
574	5271	3896
575	5280	3886
576	5289	3877
577	5297	3868
578	5306	3858
579	5315	3849
580	5325	3840
581	5334	3831
582	5343	3821
583	5352	3812
584	5361	3803
585	5370	3794
586	5379	3785
587	5389	3776
588	5398	3766
589	5407	3757
590	5416	3748
591	5425	3739
592	5435	3730
593	5444	3721
594	5453	3712
595	5462	3702
596	5472	3693
597	5481	3684
598	5490	3675
599	5499	3666
600	5508	3656
601	5516	3647
602	5526	3638
603	5535	3629
604	5544	3619
605	5553	3610
606	5562	3601
607	5572	3592
608	5581	3583
609	5589	3573
610	5599	3564
611	5608	3555
612	5617	3546
613	5626	3537
614	5635	3527
615	5644	3518
616	5653	3509
617	5663	3500
618	5672	3491
619	5681	3482
620	5690	3473
621	5699	3463
622	5709	3454
623	5718	3445
624	5727	3436
625	5737	3427
626	5746	3418
627	5755	3409
628	5764	3400
629	5773	3390
630	5782	3381
631	5792	3372
632	5801	3363
633	5810	3354
634	5820	3345
635	5829	3336
636	5838	3327
637	5847	3317
638	5856	3308
639	5865	3299
640	5875	3290
641	5884	3281
642	5893	3272
643	5903	3263
644	5912	3254
645	5921	3245
646	5931	3235
647	5939	3226
648	5949	3217
649	5958	3208
650	5967	3199
651	5976	3190
652	5985	3180
653	5995	3171
654	6004	3162
655	6013	3153
656	6022	3144
657	6031	3134
658	6040	3125
659	6049	3116
660	6058	3107
661	6067	3098
662	6076	3088
663	6085	3079
664	6095	3070
665	6104	3061
666	6113	3052
667	6122	3043
668	6131	3033
669	6141	3024
670	6150	3015
671	6159	3006
672	6168	2997
673	6177	2988
674	6186	2978
675	6195	2969
676	6205	2960
677	6214	2951
678	6223	2942
679	6233	2933
680	6242	2924
681	6251	2915
682	6261	2906
683	6270	2896
684	6279	2887
685	6289	2878
686	6298	2869
687	6307	2860
688	6316	2851
689	6325	2842
690	6334	2832
691	6344	2823
692	6353	2814
693	6362	2805
694	6371	2796
695	6380	2786
696	6389	2777
697	6399	2768
698	6408	2759
699	6417	2750
700	6426	2741
701	6436	2732
702	6445	2722
703	6454	2713
704	6463	2704
705	6471	2695
706	6480	2685
707	6490	2676
708	6498	2667
709	6507	2658
710	6517	2649
711	6526	2639
712	6536	2630
713	6545	2621
714	6554	2612
715	6563	2603
716	6572	2594
717	6582	2585
718	6591	2575
719	6599	2566
720	6608	2557
721	6617	2548
722	6627	2539
723	6636	2529
724	6645	2520
725	6654	2511
726	6663	2502
727	6672	2492
728	6681	2483
729	6690	2474
730	6700	2465
731	6709	2456
732	6718	2447
733	6727	2438
734	6736	2428
735	6745	2419
736	6754	2410
737	6768	2402
738	6777	2393
739	6787	2384
740	6796	2375
741	6805	2366
742	6814	2357
743	6823	2347
744	6832	2338
745	6841	2329
746	6851	2320
747	6860	2311
748	6869	2302
749	6878	2292
750	6887	2283
751	6896	2274
752	6905	2265
753	6914	2256
754	6924	2246
755	6933	2237
756	6942	2228
757	6952	2219
758	6961	2210
759	6970	2201
760	6979	2192
761	6989	2183
762	6998	2173
763	7007	2164
764	7017	2155
765	7025	2146
766	7034	2137
767	7043	2127
768	7052	2118
769	7062	2109
770	7071	2100
771	7080	2091
772	7089	2081
773	7098	2072
774	7108	2063
775	7117	2054
776	7126	2045
777	7135	2036
778	7144	2026
779	7154	2017
780	7163	2008
781	7172	1999
782	7181	1990
783	7190	1981
784	7199	1971
785	7208	1962
786	7217	1953
787	7226	1944
788	7235	1935
789	7244	1925
790	7254	1916
791	7263	1907
792	7272	1898
793	7281	1889
794	7290	1879
795	7299	1870
796	7309	1861
797	7318	1852
798	7327	1843
799	7336	1834
800	7345	1824
801	7354	1815
802	7364	1806
803	7373	1797
804	7382	1788
805	7391	1779
806	7400	1769
807	7409	1760
808	7418	1751
809	7427	1742
810	7436	1732
811	7445	1723
812	7454	1714
813	7464	1705
814	7473	1696
815	7482	1687
816	7491	1678
817	7500	1668
818	7509	1659
819	7518	1650
820	7527	1641
821	7536	1632
822	7545	1622
823	7555	1613
824	7564	1604
825	7573	1595
826	7582	1586
827	7591	1577
828	7601	1567
829	7610	1558
830	7619	1549
831	7628	1540
832	7638	1531
833	7647	1522
834	7656	1512
835	7665	1503
836	7674	1494
837	7683	1485
838	7692	1476
839	7701	1466
840	7710	1457
841	7719	1448
842	7728	1439
843	7737	1430
844	7746	1421
845	7756	1411
846	7765	1402
847	7774	1393
848	7783	1384
849	7792	1375
850	7801	1365
851	7810	1356
852	7819	1347
853	7829	1338
854	7838	1329
855	7847	1320
856	7857	1311
857	7866	1301
858	7875	1292
859	7884	1283
860	7893	1274
861	7902	1265
862	7911	1256
863	7921	1246
864	7930	1237
865	7939	1228
866	7948	1219
867	7957	1210
868	7967	1201
869	7976	1191
870	7985	1182
871	7994	1173
872	8003	1164
873	8012	1155
874	8021	1145
875	8031	1136
876	8040	1127
877	8049	1118
878	8059	1109
879	8068	1100
880	8077	1091
881	8086	1081
882	8095	1072
883	8104	1063
884	8113	1054
885	8122	1045
886	8132	1036
887	8141	1026
888	8150	1017
889	8159	1008
890	8169	999
891	8177	990
892	8186	980
893	8196	971
894	8205	962
895	8214	953
896	8223	944
897	8232	935
898	8241	925
899	8250	916
900	8259	907
901	8269	898
902	8278	889
903	8287	880
904	8296	870
905	8305	861
906	8314	852
907	8323	843
908	8332	834
909	8341	825
910	8351	815
911	8360	806
912	8369	797
913	8378	788
914	8387	779
915	8396	770
916	8405	760
917	8414	751
918	8424	742
919	8432	733
920	8442	724
921	8450	714
922	8460	705
923	8469	696
924	8478	687
925	8487	678
926	8496	669
927	8505	659
928	8514	650
929	8523	641
930	8533	632
931	8542	623
932	8551	614
933	8560	604
934	8569	595
935	8578	586
936	8588	577
937	8597	568
938	8606	559
939	8615	549
940	8624	540
941	8634	531
942	8643	522
943	8652	513
944	8661	504
945	8670	494
946	8679	485
947	8689	476
948	8698	467
949	8708	458
950	8717	449
951	8726	439
952	8735	430
953	8744	421
954	8753	412
955	8762	403
956	8771	394
957	8781	384
958	8790	375
959	8799	366
960	8809	357
961	8818	348
962	8826	339
963	8836	329
964	8845	320
965	8854	311
966	8863	302
967	8872	293
968	8881	284
969	8890	274
970	8899	265
971	8909	256
972	8918	247
973	8926	238
974	8935	229
975	8944	219
976	8953	210
977	8962	201
978	8971	192
979	8980	183
980	8989	174
981	8998	164
982	9007	155
983	9017	146
984	9026	137
985	9035	128
986	9044	119
987	9053	109
988	9062	100
989	9071	91
990	9080	82
991	9089	73
992	9099	64
993	9108	54
994	9117	45
995	9126	36
996	9135	27
997	9144	18
998	9153	9
999	9162	0
